"SpeciesID","IDlevel","L","S","Loudness_levels","Sightability_levels"
"Accipiter sp.","G",2.25,1.875,"(1.43,2.33]","(1.5,2.14]"
"Acrocephalus sp.","G",2.71428571428571,2.875,"(2.33,4]","(2.14,3]"
"Ashy Drongo","S",1.22222222222222,1.33333333333333,"[1,1.43]","[1,1.5]"
"Ashy Prinia","S",1.55555555555556,1.88888888888889,"(1.43,2.33]","(1.5,2.14]"
"Ashy Woodswallow","S",2.375,1.375,"(2.33,4]","[1,1.5]"
"Ashy/Bronzed Drongo","G",1.375,1.75,"[1,1.43]","(1.5,2.14]"
"Ashy/Brown-rumped Minivet","S",3.25,2.25,"(2.33,4]","(2.14,3]"
"Asian Brown Flycatcher","S",3.11111111111111,2.55555555555556,"(2.33,4]","(2.14,3]"
"Asian Emerald Dove","S",2.22222222222222,2,"(1.43,2.33]","(1.5,2.14]"
"Asian Fairy-bluebird","S",1.22222222222222,1.22222222222222,"[1,1.43]","[1,1.5]"
"Asian Koel","S",1,1.33333333333333,"[1,1.43]","[1,1.5]"
"Bar-winged Flycatcher-shrike","S",2.44444444444444,2.11111111111111,"(2.33,4]","(1.5,2.14]"
"Besra","S",1.66666666666667,2.22222222222222,"(1.43,2.33]","(2.14,3]"
"Bird sp.","B",3.25,2.33333333333333,"(2.33,4]","(2.14,3]"
"Black-and-orange Flycatcher","S",2.5,2.11111111111111,"(2.33,4]","(1.5,2.14]"
"Black-headed Cuckooshrike","S",2.375,1.625,"(2.33,4]","(1.5,2.14]"
"Black-naped Monarch","S",1.22222222222222,1.55555555555556,"[1,1.43]","(1.5,2.14]"
"Black-rumped Flameback (Lesser Goldenbacked Woodpecker)","S",1,1.44444444444444,"[1,1.43]","[1,1.5]"
"Black-throated Munia","S",2.57142857142857,1.57142857142857,"(2.33,4]","(1.5,2.14]"
"Black-winged Kite (Black-shouldered Kite)","S",3.57142857142857,1.125,"(2.33,4]","[1,1.5]"
"Black Eagle","S",2.75,1.22222222222222,"(2.33,4]","[1,1.5]"
"Blue-bearded Bee-eater","S",1.75,1.875,"(1.43,2.33]","(1.5,2.14]"
"Blue-capped Rock-Thrush","S",3.55555555555556,2.33333333333333,"(2.33,4]","(2.14,3]"
"Blue-throated Flycatcher","S",2.75,2.625,"(2.33,4]","(2.14,3]"
"Blue flycatcher sp.","G",2.75,2.5,"(2.33,4]","(2.14,3]"
"Blyth's reed warbler","S",2.33333333333333,2.33333333333333,"(1.43,2.33]","(2.14,3]"
"Booted Eagle","S",4,1.375,"(2.33,4]","[1,1.5]"
"Booted Warbler","S",2.71428571428571,2.625,"(2.33,4]","(2.14,3]"
"Brahminy Kite","S",1.44444444444444,1.11111111111111,"(1.43,2.33]","[1,1.5]"
"Bronzed Drongo","S",1.33333333333333,1.44444444444444,"[1,1.43]","[1,1.5]"
"Bronzed/Greater Racket-tailed Drongo","G",1,1.25,"[1,1.43]","[1,1.5]"
"Brown-breasted Flycatcher","S",2.88888888888889,2.55555555555556,"(2.33,4]","(2.14,3]"
"Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker)","S",2.25,2.125,"(1.43,2.33]","(1.5,2.14]"
"Brown-cheeked Fulvetta","S",1.22222222222222,2.33333333333333,"[1,1.43]","(2.14,3]"
"Brown Fish-Owl","S",2.55555555555556,1.88888888888889,"(2.33,4]","(1.5,2.14]"
"Brown Shrike","S",1.5,1.25,"(1.43,2.33]","[1,1.5]"
"Chestnut-headed Bee-eater","S",1.33333333333333,1.22222222222222,"[1,1.43]","[1,1.5]"
"Chestnut-tailed/Malabar Starling","S",2.25,1.625,"(1.43,2.33]","(1.5,2.14]"
"Chestnut-winged cuckoo","S",3.16666666666667,2.33333333333333,"(2.33,4]","(2.14,3]"
"Cinereous Tit (Great Tit)","S",2.11111111111111,1.66666666666667,"(1.43,2.33]","(1.5,2.14]"
"Common Flameback (Goldenbacked Three-toed Woodpecker)","S",1.44444444444444,2,"(1.43,2.33]","(1.5,2.14]"
"Common Hawk-cuckoo","S",1,2.5,"[1,1.43]","(2.14,3]"
"Common Iora","S",2.22222222222222,2.33333333333333,"(1.43,2.33]","(2.14,3]"
"Common Rosefinch","S",3.25,1.77777777777778,"(2.33,4]","(1.5,2.14]"
"Common Tailorbird","S",1.44444444444444,1.77777777777778,"(1.43,2.33]","(1.5,2.14]"
"Crested Hawk-Eagle","S",1,1.375,"[1,1.43]","[1,1.5]"
"Crested Serpent-Eagle","S",1,1.11111111111111,"[1,1.43]","[1,1.5]"
"Crimson-backed Sunbird (Small Sunbird)","S",2.33333333333333,2,"(1.43,2.33]","(1.5,2.14]"
"Dark-fronted Babbler","S",2.77777777777778,2.22222222222222,"(2.33,4]","(2.14,3]"
"diurnal raptor sp.","B",3.25,1.5,"(2.33,4]","[1,1.5]"
"Drongo sp.","G",1.16666666666667,1.5,"[1,1.43]","[1,1.5]"
"Eurasian Hoopoe","S",2.25,1.625,"(1.43,2.33]","(1.5,2.14]"
"Ficedula sp.","G",2.57142857142857,2.33333333333333,"(2.33,4]","(2.14,3]"
"Flame-throated Bulbul (Ruby-throated Bulbul)","S",2,1.66666666666667,"(1.43,2.33]","(1.5,2.14]"
"Flameback sp.","G",1.33333333333333,1.8,"[1,1.43]","(1.5,2.14]"
"Forest Wagtail","S",3,2.33333333333333,"(2.33,4]","(2.14,3]"
"Fork-tailed/Square-tailed Drongo-cuckoo","S",1.42857142857143,2.42857142857143,"[1,1.43]","(2.14,3]"
"Golden-fronted Leafbird (Golden-fronted Chloropsis)","S",1.88888888888889,2.55555555555556,"(1.43,2.33]","(2.14,3]"
"Great Hornbill (Great Pied Hornbill)","S",1,1,"[1,1.43]","[1,1.5]"
"Greater Coucal","S",1,1.22222222222222,"[1,1.43]","[1,1.5]"
"Greater Flameback","S",1.22222222222222,1.55555555555556,"[1,1.43]","(1.5,2.14]"
"Greater Racket-tailed Drongo","S",1,1,"[1,1.43]","[1,1.5]"
"Greater/Common Flameback","G",1.125,2,"[1,1.43]","(1.5,2.14]"
"Green/Greenish Warbler","S",2,2.66666666666667,"(1.43,2.33]","(2.14,3]"
"Grey-bellied Cuckoo","S",1.5,2.625,"(1.43,2.33]","(2.14,3]"
"Grey-breasted Prinia","S",1.625,1.75,"(1.43,2.33]","(1.5,2.14]"
"Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)","S",1.66666666666667,2.55555555555556,"(1.43,2.33]","(2.14,3]"
"Grey-headed Bulbul","S",1.88888888888889,2.11111111111111,"(1.43,2.33]","(1.5,2.14]"
"Grey-headed Canary-flycatcher","S",1.44444444444444,1.33333333333333,"(1.43,2.33]","[1,1.5]"
"Grey Junglefowl","S",1,1.88888888888889,"[1,1.43]","(1.5,2.14]"
"Grey Wagtail","S",2.125,1.5,"(1.43,2.33]","[1,1.5]"
"Heart-spotted Woodpecker","S",2,2.11111111111111,"(1.43,2.33]","(1.5,2.14]"
"House Crow","S",1.11111111111111,1,"[1,1.43]","[1,1.5]"
"Indian Blackbird","S",1.875,2.22222222222222,"(1.43,2.33]","(2.14,3]"
"Indian Blue Robin","S",1.875,2.75,"(1.43,2.33]","(2.14,3]"
"Indian Cuckoo","S",1,2.75,"[1,1.43]","(2.14,3]"
"Indian Golden Oriole","S",1.44444444444444,1.44444444444444,"(1.43,2.33]","[1,1.5]"
"Indian Paradise-Flycatcher","S",2,1.11111111111111,"(1.43,2.33]","[1,1.5]"
"Indian Peafowl","S",1,1.11111111111111,"[1,1.43]","[1,1.5]"
"Indian Pitta","S",1.33333333333333,2.88888888888889,"[1,1.43]","(2.14,3]"
"Indian Pond-heron","S",3,1.5,"(2.33,4]","[1,1.5]"
"Indian Scimitar-Babbler","S",1.22222222222222,2,"[1,1.43]","(1.5,2.14]"
