"Year","Location","no_pts","treedensity_ha","treebasal_m2perha","treedensity_lci","treedensity_uci","treebasal_lci","treebasal_uci","type","specrich_naive","specrich_invS","specrich_minstem","specrich_invS_minstem","specrich_minstem_sd","specrich_invS_minstem_sd","leaflitter_m","leaflitter_sd","canopyc_m","canopyc_sd","vstrata_m","vstrata_sd","shrub_m","shrub_sd","cane_m","cane_sd"
2000,"Akkamalai_Iyerpadi",30,697.3,73.8,581.6,833,61.5,88.1,"PCQ",42,27.8,18.9,14.8,1.9,2.3,6,2.5,98.5,2.9,5,1.5,9.5,3.5,0,0.5
2000,"Andiparai",25,431.5,83.6,353.6,524.2,68.6,101.6,"PCQ",34,17.6,16.2,11.6,2,2.2,4.5,2.5,97,3.3,5,1.2,28,15,0,0.5
2000,"Karian-Shola",25,755.4,94.9,619.1,917.8,77.8,115.3,"PCQ",40,24,18.1,13.7,2,2.2,3.5,1.5,98.5,0.8,5,1.2,23,12.1,0,0.4
2000,"Korangamudi",25,195.6,30.9,160.3,237.6,25.4,37.6,"PCQ",24,7.7,11.9,6.8,1.7,1.7,2.5,1.2,73,15.8,3,1,8,14.5,0,0
2000,"Manamboly",25,582.5,113.3,477.4,707.7,92.8,137.6,"PCQ",35,17.7,16.2,11.6,2,2.1,6,3.1,97,7.2,5,1.4,11,5.4,0,0.5
2000,"OldValparai",15,331.2,39.6,255.8,425.9,30.6,51,"PCQ",25,7.2,13.4,6.4,1.8,2,4.5,2.3,99,6.2,5,1.2,11,4.6,0,0.2
2000,"Pannimade",10,534.2,46.3,388.4,726.9,33.7,63,"PCQ",20,13,13.4,9.3,1.6,1.6,3,0.7,93,4,5,1.2,33,14.8,0,0.2
2000,"Puduthottam",25,238.7,52,195.7,290.1,42.6,63.1,"PCQ",25,9.6,12.4,7.7,1.7,1.7,3.5,1.9,90,6.3,5,1.1,7,3.9,0,0
2000,"Varatuparai123",10,294.9,32.6,214.4,401.3,23.7,44.4,"PCQ",29,23.5,17.5,13.6,1.8,2,3.5,1.1,97,4.3,5,1.4,12,3.7,0,0.5
2002,"Injiparai",20,314.9,50.1,252,391.5,40.1,62.3,"PCQ",23,8.3,11.9,7,1.8,1.6,2.5,0.6,88,8,5,1.2,12,6.4,0,0
2002,"Kalyanapandal",20,301.3,45.2,241.1,374.6,36.2,56.2,"PCQ",32,14.5,15.6,10.4,1.9,2.3,NA,NA,92.8,13.1,4,2.4,11,9.2,1,0.5
2002,"OldValparai_Coffee",20,465.6,29.3,372.5,578.8,23.4,36.4,"PCQ",3,1.6,2.6,1.6,0.5,0.2,3,0.9,85,5.1,5,0.8,0,0,0,0
2002,"Puduthottam_Coffee",20,130.6,24.6,104.5,162.3,19.7,30.6,"PCQ",13,5.9,9.3,5.3,1.3,1.2,3,0.9,82,9.9,5,0.9,0,3.4,0,0
