BirdID,IDlevel,Habit,Range,Loudness_levels,Sightability_levels,ndetections,ScientificName
ashy drongo,S,RF,NA,loud,easy,131,Dicrurus leucophaeus
ashy prinia,S,OC,NA,moderate,moderate,10,Prinia socialis
ashy woodswallow,S,OC,NA,soft,easy,2,Artamus fuscus
ashy/brown-rumped minivet,S,RF,NA,soft,difficult,1,Pericrocotus divaricatus/cantonensis
asian brown flycatcher,S,OC,NA,soft,difficult,30,Muscicapa dauurica
asian emerald dove,S,RF,NA,moderate,moderate,100,Chalcophaps indica
asian fairy-bluebird,S,RF,NA,loud,easy,364,Irena puella
asian koel,S,OC,NA,loud,easy,5,Eudynamys scolopaceus
bar-winged flycatcher-shrike,S,RF,NA,soft,moderate,152,Hemipus picatus
besra,S,RF,NA,moderate,difficult,39,Accipiter virgatus
black-and-orange flycatcher,S,RF,Y,soft,moderate,123,Ficedula nigrorufa
black-headed cuckooshrike,S,OC,NA,soft,moderate,3,Lalage melanoptera
black-naped monarch,S,RF,NA,loud,moderate,342,Hypothymis azurea
black-rumped flameback (lesser goldenbacked woodpecker),S,OC,NA,loud,easy,26,Dinopium benghalense
black-throated munia,S,RF,Y,soft,moderate,6,Lonchura kelaarti
black-winged kite (black-shouldered kite),S,OC,NA,soft,easy,2,Elanus caeruleus
black eagle,S,RF,NA,soft,easy,3,Ictinaetus malaiensis
blue-bearded bee-eater,S,RF,NA,moderate,moderate,1,Nyctyornis athertoni
blue-capped rock-thrush,S,RF,NA,soft,difficult,3,Monticola cinclorhyncha
blue-throated flycatcher,S,RF,NA,soft,difficult,1,Cyornis rubeculoides
blyth's reed warbler,S,OC,NA,moderate,difficult,1139,Acrocephalus dumetorum
booted warbler,S,OC,NA,soft,difficult,3,Iduna caligata
bronzed drongo,S,RF,NA,loud,easy,240,Dicrurus aeneus
brown-breasted flycatcher,S,RF,NA,soft,difficult,24,Muscicapa muttui
brown-capped pygmy woodpecker (indian pygmy woodpecker),S,RF,NA,moderate,moderate,24,Yungipicus nanus
brown-cheeked fulvetta,S,RF,NA,loud,difficult,623,Alcippe poioicephala
brown fish-owl,S,RF,NA,soft,moderate,5,Ketupa zeylonensis
brown shrike,S,OC,NA,moderate,easy,34,Lanius cristatus
chestnut-headed bee-eater,S,RF,NA,loud,easy,70,Merops leschenaulti
chestnut-tailed/malabar starling,S,RF,Y,moderate,moderate,11,Sturnia malabarica/blythii
chestnut-winged cuckoo,S,RF,NA,soft,difficult,1,Clamator coromandus
cinereous tit (great tit),S,OC,NA,moderate,moderate,3,Parus cinereus
common flameback (goldenbacked three-toed woodpecker),S,RF,NA,moderate,moderate,68,Dinopium javanense
common hawk-cuckoo,S,OC,NA,loud,difficult,3,Hierococcyx varius
common iora,S,OC,NA,moderate,difficult,83,Aegithina tiphia
common rosefinch,S,OC,NA,soft,moderate,23,Carpodacus erythrinus
common tailorbird,S,OC,NA,moderate,moderate,101,Orthotomus sutorius
crested hawk-eagle,S,RF,NA,loud,easy,1,Nisaetus cirrhatus
crested serpent-eagle,S,RF,NA,loud,easy,10,Spilornis cheela
crimson-backed sunbird (small sunbird),S,RF,Y,moderate,moderate,1712,Leptocoma minima
