x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
-3,23.2697828,0.675737957,21.91318224,24.62638335,1,rarefied_richness,all,PC1,1.084178322
-2.5,23.28660186,0.596057425,22.08996665,24.48323707,1,rarefied_richness,all,PC1,..
-2,23.30342092,0.521568333,22.2563288,24.35051304,1,rarefied_richness,all,PC1,..
-1.5,23.32023999,0.454828541,22.40713359,24.23334638,1,rarefied_richness,all,PC1,..
-1,23.33705905,0.399738518,22.53455049,24.13956761,1,rarefied_richness,all,PC1,..
-0.5,23.35387811,0.361661676,22.627812,24.07994422,1,rarefied_richness,all,PC1,..
0,23.37069717,0.346256924,22.67555739,24.06583696,1,rarefied_richness,all,PC1,..
0.5,23.38751624,0.356475737,22.67186133,24.10317114,1,rarefied_richness,all,PC1,..
1,23.4043353,0.390310709,22.62075385,24.18791675,1,rarefied_richness,all,PC1,..
1.5,23.42115436,0.442375805,22.53304788,24.30926085,1,rarefied_richness,all,PC1,..
2,23.43797343,0.507086443,22.41995491,24.45599194,1,rarefied_richness,all,PC1,..
2.5,23.45479249,0.580227001,22.28993818,24.6196468,1,rarefied_richness,all,PC1,..
3,23.47161155,0.658996577,22.14862072,24.79460238,1,rarefied_richness,all,PC1,..
3.5,23.48843061,0.741603674,21.99959911,24.97726211,1,rarefied_richness,all,PC1,..
4,23.50524968,0.826898987,21.84518069,25.16531866,1,rarefied_richness,all,PC1,..
4.5,23.52206874,0.914130332,21.68687552,25.35726196,1,rarefied_richness,all,PC1,..
-3,15.24857515,0.402374968,14.4407737,16.05637661,1,rarefied_richness,rf,PC1,-9.098836701
-2.5,15.15607895,0.354912814,14.44356175,15.86859616,1,rarefied_richness,rf,PC1,..
-2,15.06358276,0.310541005,14.44014567,15.68701984,1,rarefied_richness,rf,PC1,..
-1.5,14.97108656,0.270783024,14.42746696,15.51470616,1,rarefied_richness,rf,PC1,..
-1,14.87859036,0.237962804,14.4008601,15.35632063,1,rarefied_richness,rf,PC1,..
-0.5,14.78609417,0.215277184,14.35390719,15.21828115,1,rarefied_richness,rf,PC1,..
0,14.69359797,0.206100352,14.27983425,15.10736169,1,rarefied_richness,rf,PC1,..
0.5,14.60110177,0.212192281,14.17510799,15.02709555,1,rarefied_richness,rf,PC1,..
1,14.50860558,0.232355101,14.04213325,14.97507791,1,rarefied_richness,rf,PC1,..
1.5,14.41610938,0.263376806,13.88735838,14.94486038,1,rarefied_richness,rf,PC1,..
2,14.32361318,0.301928651,13.71746612,14.92976024,1,rarefied_richness,rf,PC1,..
2.5,14.23111699,0.345499057,13.53749869,14.92473528,1,rarefied_richness,rf,PC1,..
3,14.13862079,0.392419936,13.35080489,14.92643668,1,rarefied_richness,rf,PC1,..
3.5,14.04612459,0.441624652,13.15952611,14.93272308,1,rarefied_richness,rf,PC1,..
4,13.9536284,0.492429062,12.9650358,14.94222099,1,rarefied_richness,rf,PC1,..
4.5,13.8611322,0.544385477,12.76823275,14.95403165,1,rarefied_richness,rf,PC1,..
-3,1.995548697,0.129395849,1.735775691,2.255321703,1,rarefied_richness,oc,PC1,26.72842515
-2.5,2.03110728,0.113754317,1.802735959,2.2594786,1,rarefied_richness,oc,PC1,..
-2,2.066665862,0.099082132,1.867750182,2.265581542,1,rarefied_richness,oc,PC1,..
-1.5,2.102224445,0.085877578,1.929818013,2.274630877,1,rarefied_richness,oc,PC1,..
-1,2.137783028,0.074920714,1.987373419,2.288192636,1,rarefied_richness,oc,PC1,..
-0.5,2.17334161,0.067318151,2.038194782,2.308488438,1,rarefied_richness,oc,PC1,..
0,2.208900193,0.064271448,2.079869877,2.337930509,1,rarefied_richness,oc,PC1,..
0.5,2.244458775,0.066410615,2.111133902,2.377783649,1,rarefied_richness,oc,PC1,..
1,2.280017358,0.073282917,2.132895762,2.427138954,1,rarefied_richness,oc,PC1,..
1.5,2.315575941,0.083730923,2.147479099,2.483672783,1,rarefied_richness,oc,PC1,..
2,2.351134523,0.096601316,2.15719929,2.545069757,1,rarefied_richness,oc,PC1,..
2.5,2.386693106,0.11105506,2.16374077,2.609645442,1,rarefied_richness,oc,PC1,..
3,2.422251689,0.126550795,2.168190367,2.676313011,1,rarefied_richness,oc,PC1,..
3.5,2.457810271,0.142749593,2.171228504,2.744392038,1,rarefied_richness,oc,PC1,..
4,2.493368854,0.159437306,2.173285106,2.813452602,1,rarefied_richness,oc,PC1,..
4.5,2.528927437,0.17647529,2.174638509,2.883216364,1,rarefied_richness,oc,PC1,..
