x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
2000,23.91863556,0.468630401,22.97782077,24.85945035,1,rarefied_richness,all,season-or-time,-5.670992567
2002,23.77585408,0.420301738,22.93206314,24.61964503,1,rarefied_richness,all,season-or-time,..
2003,23.70446334,0.399562883,22.90230739,24.5066193,1,rarefied_richness,all,season-or-time,..
2004,23.6330726,0.381618102,22.8669423,24.39920291,1,rarefied_richness,all,season-or-time,..
2005,23.56168187,0.366877617,22.82514431,24.29821942,1,rarefied_richness,all,season-or-time,..
2019,22.56221152,0.541804737,21.47449312,23.64992991,1,rarefied_richness,all,season-or-time,..
2000,15.08784002,0.279084545,14.52755442,15.64812562,1,rarefied_richness,rf,season-or-time,-6.659066347
2002,14.98208115,0.250262754,14.4796577,15.48450459,1,rarefied_richness,rf,season-or-time,..
2003,14.92920171,0.237893591,14.4516104,15.40679302,1,rarefied_richness,rf,season-or-time,..
2004,14.87632228,0.227190368,14.42021858,15.33242597,1,rarefied_richness,rf,season-or-time,..
2005,14.82344284,0.218398157,14.38499025,15.26189544,1,rarefied_richness,rf,season-or-time,..
2019,14.08313074,0.322753212,13.43517663,14.73108485,1,rarefied_richness,rf,season-or-time,..
2000,2.327412405,0.091029638,2.14466278,2.510162029,1,rarefied_richness,oc,season-or-time,-12.22818299
2002,2.297454484,0.080512969,2.135817955,2.459091013,1,rarefied_richness,oc,season-or-time,..
2003,2.282475523,0.075964801,2.129969822,2.434981225,1,rarefied_richness,oc,season-or-time,..
2004,2.267496563,0.072012902,2.12292463,2.412068496,1,rarefied_richness,oc,season-or-time,..
2005,2.252517602,0.068760158,2.114475826,2.390559379,1,rarefied_richness,oc,season-or-time,..
2019,2.042812157,0.107894716,1.826204476,2.259419838,1,rarefied_richness,oc,season-or-time,..
2000,4.479269989,0.147138432,4.18387726,4.774662717,1,rarefied_richness,rr,season-or-time,-14.214683
2002,4.41224746,0.132475971,4.14629085,4.678204069,1,rarefied_richness,rr,season-or-time,..
2003,4.378736195,0.12619764,4.125383861,4.632088528,1,rarefied_richness,rr,season-or-time,..
2004,4.34522493,0.120771375,4.102766278,4.587683582,1,rarefied_richness,rr,season-or-time,..
2005,4.311713665,0.116316487,4.078198575,4.545228756,1,rarefied_richness,rr,season-or-time,..
